City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
256,sevsk,52.1491,34.4926,289.74,90,100,5.56,RU,1691717360,16.590000000000032
257,pavlodar,52.3,76.95,287.04,88,100,5.0,KZ,1691717361,13.890000000000043
258,nizhniy ingash,56.2,96.53,292.56,62,43,1.79,RU,1691717361,19.410000000000025
259,ibimirim,-8.5406,-37.6903,292.51,89,0,5.53,BR,1691717361,19.360000000000014
260,al burayqah,30.4062,19.5739,299.0,67,0,6.95,LY,1691717361,25.850000000000023
261,la ligua,-32.4524,-71.2311,284.48,87,45,1.79,CL,1691717361,11.330000000000041
262,tralee,52.2704,-9.7026,286.7,97,19,2.79,IE,1691717355,13.550000000000011
263,qamdo,31.1667,97.2333,281.34,86,100,1.08,CN,1691717362,8.189999999999998
264,arno,60.1167,18.6333,286.92,90,100,3.91,SE,1691717362,13.770000000000039
265,leh,34.1667,77.5833,290.62,58,12,1.91,IN,1691717362,17.470000000000027
266,fisterra,42.9049,-9.2629,293.01,93,2,3.56,ES,1691717362,19.860000000000014
267,icano,-28.9193,-65.3282,291.61,43,3,2.22,AR,1691717362,18.460000000000036
268,necochea,-38.5473,-58.7368,284.65,86,100,4.41,AR,1691717363,11.5
269,richards bay,-28.783,32.0377,288.23,84,0,3.49,ZA,1691717363,15.080000000000041
270,oranjemund,-28.55,16.4333,290.41,63,79,3.01,NA,1691717363,17.260000000000048
271,san pedro pochutla,15.7333,-96.4667,302.43,83,26,1.65,MX,1691717363,29.28000000000003
272,tateyama,34.9833,139.8667,301.43,76,8,5.28,JP,1691717363,28.28000000000003
273,lospalos,-8.5186,127.0025,298.14,62,23,5.41,TL,1691717363,24.99000000000001
274,castillos,-34.1667,-53.8333,289.1,93,100,2.68,UY,1691717364,15.950000000000045
275,cadale,2.7603,46.3222,297.7,82,72,8.68,SO,1691717364,24.55000000000001
276,newman,37.3138,-121.0208,306.14,45,100,0.89,US,1691717364,32.99000000000001
277,plettenberg bay,-34.0527,23.3716,294.2,37,0,3.81,ZA,1691717364,21.05000000000001
278,queenstown,-31.8976,26.8753,283.52,50,0,2.77,ZA,1691717364,10.370000000000005
279,arkhangel'sk,64.5401,40.5433,290.37,91,50,0.77,RU,1691717365,17.220000000000027
280,zemetchino,53.4973,42.6163,293.53,66,97,2.42,RU,1691717365,20.379999999999995
281,vorgashor,67.5833,63.95,278.2,93,82,4.9,RU,1691717365,5.050000000000011
282,kudahuvadhoo,2.6708,72.8944,301.12,76,100,6.32,MV,1691717365,27.970000000000027
283,mar del plata,-38.0023,-57.5575,288.76,93,100,3.6,AR,1691717365,15.610000000000014
284,tinajo,29.0788,-13.7081,301.64,51,0,9.77,ES,1691717366,28.49000000000001
285,pisco,-13.7,-76.2167,293.18,77,100,7.2,PE,1691717324,20.03000000000003
286,puerto deseado,-47.7503,-65.8938,279.98,74,12,10.11,AR,1691717366,6.830000000000041
287,sitia,35.2,26.0986,299.25,68,0,6.65,GR,1691717366,26.100000000000023
288,myanaung,18.2833,95.3167,298.06,91,100,1.2,MM,1691717366,24.910000000000025
289,hereford,52.0568,-2.7148,291.89,92,99,3.69,GB,1691717366,18.74000000000001
290,dno,57.8277,29.9637,286.79,85,100,1.41,RU,1691717367,13.640000000000043
291,telemaco borba,-24.3239,-50.6156,289.55,76,0,1.03,BR,1691717367,16.400000000000034
292,bonanza,14.0289,-84.591,297.78,92,1,0.55,NI,1691717367,24.629999999999995
293,barcelos,41.5388,-8.6151,293.1,88,0,1.16,PT,1691717367,19.950000000000045
294,santa rosalia,27.3167,-112.2833,304.66,57,0,1.49,MX,1691717367,31.510000000000048
295,nema,57.5067,50.5011,288.96,86,2,1.66,RU,1691717367,15.810000000000002
296,margate,51.3813,1.3862,291.87,78,8,0.89,GB,1691717315,18.720000000000027
297,nuevitas,21.5453,-77.2644,301.2,79,0,3.72,CU,1691717368,28.05000000000001
298,ola,59.5833,151.2833,294.9,68,0,2.24,RU,1691717368,21.75
299,tengrela,10.4869,-6.4097,294.81,98,100,2.1,CI,1691717368,21.660000000000025
300,vuktyl,63.8567,57.3094,284.44,80,24,1.91,RU,1691717368,11.29000000000002
